title,rating
The Tudors,8.6
Twin Peaks,8.8
The Poison Rose,4.7
Avatar: The Last Airbender,9.3
Avatar: The Last Airbender,7.4
Avatar: The Last Airbender,8.6
Avatar: The Last Airbender,7.8
Avatar: The Last Airbender,7.7
Avatar: The Last Airbender,8.0
Avatar: The Last Airbender,8.4
Avatar: The Last Airbender,7.8
Avatar: The Last Airbender,7.9
Avatar: The Last Airbender,9.3
Avatar: The Last Airbender,8.6
Avatar: The Last Airbender,9.5
Avatar: The Last Airbender,7.8
Avatar: The Last Airbender,8.1
Avatar: The Last Airbender,8.6
Avatar: The Last Airbender,7.6
Avatar: The Last Airbender,8.1
Avatar: The Last Airbender,8.1
Avatar: The Last Airbender,9.2
Avatar: The Last Airbender,8.3
Avatar: The Last Airbender,8.5
Avatar: The Last Airbender,9.1
Avatar: The Last Airbender,8.8
Avatar: The Last Airbender,8.8
Avatar: The Last Airbender,7.9
Avatar: The Last Airbender,9.0
Avatar: The Last Airbender,8.4
Avatar: The Last Airbender,8.0
Avatar: The Last Airbender,9.6
Avatar: The Last Airbender,7.8
Avatar: The Last Airbender,9.1
Avatar: The Last Airbender,8.3
Avatar: The Last Airbender,6.9
Avatar: The Last Airbender,8.7
Avatar: The Last Airbender,8.7
Avatar: The Last Airbender,9.0
Avatar: The Last Airbender,8.9
Avatar: The Last Airbender,9.0
Avatar: The Last Airbender,8.5
Avatar: The Last Airbender,9.0
Avatar: The Last Airbender,8.5
Avatar: The Last Airbender,8.1
Avatar: The Last Airbender,8.8
Avatar: The Last Airbender,7.9
Avatar: The Last Airbender,9.1
Avatar: The Last Airbender,8.3
Avatar: The Last Airbender,8.6
Avatar: The Last Airbender,9.6
Avatar: The Last Airbender,9.5
Avatar: The Last Airbender,7.6
Avatar: The Last Airbender,9.4
Avatar: The Last Airbender,9.1
Avatar: The Last Airbender,8.9
Hannibal,8.5
Star Trek: Voyager,7.8
NCIS: Los Angeles,6.7
Persuasion,5.7
Good Girls,7.7
Good Girls,8.3
Good Girls,7.9
Good Girls,8.0
Good Girls,8.1
Good Girls,7.9
Good Girls,7.1
Good Girls,7.9
Good Girls,7.7
Good Girls,7.6
Good Girls,7.8
Dated and Related,4.3
Jogi,7.5
How to Get Away with Murder,8.1
Uncoupled,7.0
Longmire,8.3
The Anthrax Attacks,6.2
White Collar,8.3
White Noise,5.9
After Life,8.4
After Life,7.8
Outer Banks,7.6
Outer Banks,7.3
Outer Banks,7.4
Outer Banks,7.5
Outer Banks,8.0
Outer Banks,7.9
Outer Banks,8.2
Outer Banks,8.0
Outer Banks,8.4
Outer Banks,7.9
Outer Banks,8.2
Derry Girls,8.5
El Camino: A Breaking Bad Movie,7.3
Anatomy of a Scandal,7.0
A Knights Tale,6.9
Baywatch,5.5
Broad Peak,5.9
Grimm,7.8
The Sea Beast,7.1
Operation Mincemeat,6.6
Alchemy of Souls,8.7
Chip n Dale: Rescue Rangers,7.0
Wedding Season,6.3
Black Sails,8.2
Knock Knock,4.9
Elementary,7.9
13 Reasons Why,7.5
13 Reasons Why,5.7
13 Reasons Why,5.7
13 Reasons Why,5.1
Maid,8.4
The King,7.3
The Adam Project,6.7
Top Boy,8.4
Emily in Paris,6.9
Grease,7.2
Sicario,7.6
The Devil All the Time,7.1
Little Women,8.6
The Fall,8.1
Elite,7.4
Elite,7.8
Elite,9.0
Elite,7.9
Elite,7.8
Elite,8.1
Elite,8.4
Elite,8.1
Elite,8.3
